File Name;Image Path;Description;PART NUMBER;L 0 INDUCTANCE ± 20 % AT 100 kHz, 0.25 V, 0 A (μH);DCR TYP. 25 °C (mΩ);DCR MAX. 25 °C (mΩ);HEAT RATING CURRENT DC TYP. (A) (1);SATURATION CURRENT DC TYP. (A) (2)
IHLP-5050FD-01;image/small_inductors/34123.png;IHLP® Commercial Inductors, High Saturation Series;IHLP5050FDER0R1M01;0.10;0.47;0.50;60;120
IHLP-5050FD-01;image/small_inductors/34123.png;IHLP® Commercial Inductors, High Saturation Series;IHLP5050FDER0R15M01;0.15;0.53;0.60;55;118
IHLP-5050FD-01;image/small_inductors/34123.png;IHLP® Commercial Inductors, High Saturation Series;IHLP5050FDER0R22M01;0.22;0.63;0.70;53;112
IHLP-5050FD-01;image/small_inductors/34123.png;IHLP® Commercial Inductors, High Saturation Series;IHLP5050FDER0R3M01;0.30;0.70;0.80;48;72
IHLP-5050FD-01;image/small_inductors/34123.png;IHLP® Commercial Inductors, High Saturation Series;IHLP5050FDER0R33M01;0.33;0.83;0.90;46;65
IHLP-5050FD-01;image/small_inductors/34123.png;IHLP® Commercial Inductors, High Saturation Series;IHLP5050FDER0R4M01;0.40;0.90;1.0;44;64
IHLP-5050FD-01;image/small_inductors/34123.png;IHLP® Commercial Inductors, High Saturation Series;IHLP5050FDER0R47M01;0.47;1.0;1.2;41;63
IHLP-5050FD-01;image/small_inductors/34123.png;IHLP® Commercial Inductors, High Saturation Series;IHLP5050FDER0R56M01;0.56;1.2;1.4;37;62
IHLP-5050FD-01;image/small_inductors/34123.png;IHLP® Commercial Inductors, High Saturation Series;IHLP5050FDER0R68M01;0.68;1.4;1.6;35;60
IHLP-5050FD-01;image/small_inductors/34123.png;IHLP® Commercial Inductors, High Saturation Series;IHLP5050FDER0R82M01;0.82;1.6;1.9;33;50
IHLP-5050FD-01;image/small_inductors/34123.png;IHLP® Commercial Inductors, High Saturation Series;IHLP5050FDER1R0M01;1.0;1.7;2.0;32;49
IHLP-5050FD-01;image/small_inductors/34123.png;IHLP® Commercial Inductors, High Saturation Series;IHLP5050FDER1R2M01;1.2;2.1;2.5;30;48
IHLP-5050FD-01;image/small_inductors/34123.png;IHLP® Commercial Inductors, High Saturation Series;IHLP5050FDER1R5M01;1.5;2.5;3.0;27;45
IHLP-5050FD-01;image/small_inductors/34123.png;IHLP® Commercial Inductors, High Saturation Series;IHLP5050FDER1R8M01;1.8;2.8;3.2;24;41
IHLP-5050FD-01;image/small_inductors/34123.png;IHLP® Commercial Inductors, High Saturation Series;IHLP5050FDER2R2M01;2.2;3.5;4.2;22;40
IHLP-5050FD-01;image/small_inductors/34123.png;IHLP® Commercial Inductors, High Saturation Series;IHLP5050FDER3R3M01;3.3;5.7;6.8;18;35
IHLP-5050FD-01;image/small_inductors/34123.png;IHLP® Commercial Inductors, High Saturation Series;IHLP5050FDER4R7M01;4.7;8.0;8.7;13.5;32
IHLP-5050FD-01;image/small_inductors/34123.png;IHLP® Commercial Inductors, High Saturation Series;IHLP5050FDER5R6M01;5.6;9.3;10;13.5;32
IHLP-5050FD-01;image/small_inductors/34123.png;IHLP® Commercial Inductors, High Saturation Series;IHLP5050FDER6R8M01;6.8;13.1;14;11.5;16.5
IHLP-5050FD-01;image/small_inductors/34123.png;IHLP® Commercial Inductors, High Saturation Series;IHLP5050FDER8R2M01;8.2;14.5;15.5;10.5;16
IHLP-5050FD-01;image/small_inductors/34123.png;IHLP® Commercial Inductors, High Saturation Series;IHLP5050FDER100M01;10;16.4;17.2;10;15.5
