File Name;Image Path;Description;PART NUMBER;INDUCTANCE ± 20 % (μH) AT 0 A;DCR 25 °C (mΩ);MAX.;HEAT RATING CURRENT DC TYP. (A) (1);SATURATION CURRENT DC TYP. (A) (2);30 % DROP;SRF TYP (MHz
IHLP-4040DZ-5A;image/small_inductors/34315.png;www.vishay.com Vishay Dale;IHLP4040DZER000M5A;;TYP.;MAX.;;20 % DROP;30 % DROP;
IHLP-4040DZ-5A;image/small_inductors/34315.png;www.vishay.com Vishay Dale;IHLP4040DZER0R47M5A;0.47;1.55;1.66;35.5;28.5;38.0;72.1
IHLP-4040DZ-5A;image/small_inductors/34315.png;www.vishay.com Vishay Dale;IHLP4040DZER0R68M5A;0.68;2.17;2.32;35.0;24.0;32.0;42.5
IHLP-4040DZ-5A;image/small_inductors/34315.png;www.vishay.com Vishay Dale;IHLP4040DZER1R0M5A;1.0;2.87;3.07;23.5;24.0;32.0;37.2
IHLP-4040DZ-5A;image/small_inductors/34315.png;www.vishay.com Vishay Dale;IHLP4040DZER1R5M5A;1.5;4.20;4.50;22.0;17.9;24.2;32
IHLP-4040DZ-5A;image/small_inductors/34315.png;www.vishay.com Vishay Dale;IHLP4040DZER2R2M5A;2.2;8.15;8.76;15.0;12.0;16.2;30.1
IHLP-4040DZ-5A;image/small_inductors/34315.png;www.vishay.com Vishay Dale;IHLP4040DZER3R3M5A;3.3;11;11.81;11.0;12.0;16.2;25.5
IHLP-4040DZ-5A;image/small_inductors/34315.png;www.vishay.com Vishay Dale;IHLP4040DZER4R7M5A;4.7;14.3;15.32;9.8;9.2;12.4;20.1
IHLP-4040DZ-5A;image/small_inductors/34315.png;www.vishay.com Vishay Dale;IHLP4040DZER5R6M5A;5.6;16.5;17.60;9.3;9.0;12.2;16.3
IHLP-4040DZ-5A;image/small_inductors/34315.png;www.vishay.com Vishay Dale;IHLP4040DZER6R8M5A;6.8;20.9;22.36;8.0;9.0;12.2;16.3
IHLP-4040DZ-5A;image/small_inductors/34315.png;www.vishay.com Vishay Dale;IHLP4040DZER100M5A;10;30.9;33.06;6.5;8.5;11.5;11.5
IHLP-4040DZ-5A;image/small_inductors/34315.png;www.vishay.com Vishay Dale;IHLP4040DZER150M5A;15;47;50.29;5.1;7.7;10.4;10.4
IHLP-4040DZ-5A;image/small_inductors/34315.png;www.vishay.com Vishay Dale;IHLP4040DZER220M5A;22;70.5;75.44;4.1;6.4;8.6;8.3
IHLP-4040DZ-5A;image/small_inductors/34315.png;www.vishay.com Vishay Dale;IHLP4040DZER330M5A;33;110;117.7;3.7;4.2;5.7;5.79
IHLP-4040DZ-5A;image/small_inductors/34315.png;www.vishay.com Vishay Dale;IHLP4040DZER470M5A;47;167;178;3.1;4.1;5.5;5.22
IHLP-4040DZ-5A;image/small_inductors/34315.png;www.vishay.com Vishay Dale;IHLP4040DZER680M5A;68;240;252;2.4;3.5;4.7;4.02
