File Name;Image Path;Description;PART NUMBER;L 0 INDUCTANCE ± 20 % AT 100 kHz, 0.25 V, 0 A (μH);DCR ± 10 % 25 °C (mΩ);HEAT RATING CURRENT DC TYP. (A) (1);SATURATION CURRENT DC TYP. (A) (2);SRF TYP. (MHz)
IHLM-2525CZ-L6;image/small_inductors/34214.png;Tin / Lead, 10 % DCR Tolerance, Low Profile, Power Inductor;IHLM2525CZER0R1ML6;0.10;1.37;32.5;60;400
IHLM-2525CZ-L6;image/small_inductors/34214.png;Tin / Lead, 10 % DCR Tolerance, Low Profile, Power Inductor;IHLM2525CZER0R2ML6;0.20;2.34;24;41;150
IHLM-2525CZ-L6;image/small_inductors/34214.png;Tin / Lead, 10 % DCR Tolerance, Low Profile, Power Inductor;IHLM2525CZER0R33ML6;0.33;3.20;20;30;100
IHLM-2525CZ-L6;image/small_inductors/34214.png;Tin / Lead, 10 % DCR Tolerance, Low Profile, Power Inductor;IHLM2525CZER0R47ML6;0.47;3.86;17.5;26;75
IHLM-2525CZ-L6;image/small_inductors/34214.png;Tin / Lead, 10 % DCR Tolerance, Low Profile, Power Inductor;IHLM2525CZER0R68ML6;0.68;5.20;15.5;25;62
IHLM-2525CZ-L6;image/small_inductors/34214.png;Tin / Lead, 10 % DCR Tolerance, Low Profile, Power Inductor;IHLM2525CZER0R82ML6;0.82;7.41;13;24;60
IHLM-2525CZ-L6;image/small_inductors/34214.png;Tin / Lead, 10 % DCR Tolerance, Low Profile, Power Inductor;IHLM2525CZER1R0ML6;1.0;8.84;11;22;55
IHLM-2525CZ-L6;image/small_inductors/34214.png;Tin / Lead, 10 % DCR Tolerance, Low Profile, Power Inductor;IHLM2525CZER1R5ML6;1.5;14.50;9;18;40
IHLM-2525CZ-L6;image/small_inductors/34214.png;Tin / Lead, 10 % DCR Tolerance, Low Profile, Power Inductor;IHLM2525CZER2R2ML6;2.2;17.73;8;14;38
IHLM-2525CZ-L6;image/small_inductors/34214.png;Tin / Lead, 10 % DCR Tolerance, Low Profile, Power Inductor;IHLM2525CZER3R3ML6;3.3;28.21;6;13.5;30
IHLM-2525CZ-L6;image/small_inductors/34214.png;Tin / Lead, 10 % DCR Tolerance, Low Profile, Power Inductor;IHLM2525CZER4R7ML6;4.7;37.11;5.5;10;25
IHLM-2525CZ-L6;image/small_inductors/34214.png;Tin / Lead, 10 % DCR Tolerance, Low Profile, Power Inductor;IHLM2525CZER8R2ML6;8.2;61.47;4;7.5;17
IHLM-2525CZ-L6;image/small_inductors/34214.png;Tin / Lead, 10 % DCR Tolerance, Low Profile, Power Inductor;IHLM2525CZER100ML6;10;97.71;3;7.0;16
