File Name;Image Path;Description;PART NUMBER;L 0 INDUCTANCE ± 20 % AT 100 kHz, 0.25 V, 0 A (μH);DCR ± 5 % AT 25 °C (mΩ);HEAT RATING CURRENT DC TYP. (A) (1);SATURATION CURRENT DC TYP. (A) (2);SRF TYP. (MHz)
IHLP-2525CZ-07;image/small_inductors/34168.png;IHLP® Commercial Inductors, High Saturation Series,;IHLP2525CZER0R1M07;0.10;1.35;32.5;60;400
IHLP-2525CZ-07;image/small_inductors/34168.png;IHLP® Commercial Inductors, High Saturation Series,;IHLP2525CZER0R15M07;0.15;1.85;26;52;180
IHLP-2525CZ-07;image/small_inductors/34168.png;IHLP® Commercial Inductors, High Saturation Series,;IHLP2525CZER0R2M07;0.20;2.34;24;41;150
IHLP-2525CZ-07;image/small_inductors/34168.png;IHLP® Commercial Inductors, High Saturation Series,;IHLP2525CZER0R33M07;0.33;3.20;20;30;100
IHLP-2525CZ-07;image/small_inductors/34168.png;IHLP® Commercial Inductors, High Saturation Series,;IHLP2525CZER0R47M07;0.47;3.86;17.5;26;75
IHLP-2525CZ-07;image/small_inductors/34168.png;IHLP® Commercial Inductors, High Saturation Series,;IHLP2525CZER0R68M07;0.68;5.20;15.5;25;62
IHLP-2525CZ-07;image/small_inductors/34168.png;IHLP® Commercial Inductors, High Saturation Series,;IHLP2525CZER0R82M07;0.82;7.41;13;24;60
IHLP-2525CZ-07;image/small_inductors/34168.png;IHLP® Commercial Inductors, High Saturation Series,;IHLP2525CZER1R0M07;1.0;8.00;11;22;55
IHLP-2525CZ-07;image/small_inductors/34168.png;IHLP® Commercial Inductors, High Saturation Series,;IHLP2525CZER1R5M07;1.5;14.50;9;18;40
IHLP-2525CZ-07;image/small_inductors/34168.png;IHLP® Commercial Inductors, High Saturation Series,;IHLP2525CZER2R2M07;2.2;17.73;8;14;38
IHLP-2525CZ-07;image/small_inductors/34168.png;IHLP® Commercial Inductors, High Saturation Series,;IHLP2525CZER3R3M07;3.3;28.21;6;13.5;30
IHLP-2525CZ-07;image/small_inductors/34168.png;IHLP® Commercial Inductors, High Saturation Series,;IHLP2525CZER4R7M07;4.7;37.11;5.5;10;25
IHLP-2525CZ-07;image/small_inductors/34168.png;IHLP® Commercial Inductors, High Saturation Series,;IHLP2525CZER8R2M07;8.2;61.47;4;7.5;17
IHLP-2525CZ-07;image/small_inductors/34168.png;IHLP® Commercial Inductors, High Saturation Series,;IHLP2525CZER100M07;10;97.71;3;7.0;16
