File Name;Image Path;Description;PART NUMBER;L 0 INDUCTANCE ± 20 % AT 100 kHz, 0.25 V, 0 A (μH);DCR TYP. 25 °C (mΩ);DCR MAX. 25 °C (mΩ);HEAT RATING CURRENT DC TYP. (A) (1);SATURATION CURRENT DC TYP. (A) (2)
IHLP-6767DZ-L1;image/small_inductors/34326.png;IHLP® Tin/Lead Inductors, High Saturation Series;IHLP6767DZER0R22ML1;0.22;0.80;0.88;75.0;92.0
IHLP-6767DZ-L1;image/small_inductors/34326.png;IHLP® Tin/Lead Inductors, High Saturation Series;IHLP6767DZER0R33ML1;0.33;1.16;1.28;56.0;82.0
IHLP-6767DZ-L1;image/small_inductors/34326.png;IHLP® Tin/Lead Inductors, High Saturation Series;IHLP6767DZER0R47ML1;0.47;1.31;1.38;49.0;77.0
IHLP-6767DZ-L1;image/small_inductors/34326.png;IHLP® Tin/Lead Inductors, High Saturation Series;IHLP6767DZER0R56ML1;0.56;1.45;1.52;47.0;62.0
IHLP-6767DZ-L1;image/small_inductors/34326.png;IHLP® Tin/Lead Inductors, High Saturation Series;IHLP6767DZER0R68ML1;0.68;1.90;2.00;41.0;60.0
IHLP-6767DZ-L1;image/small_inductors/34326.png;IHLP® Tin/Lead Inductors, High Saturation Series;IHLP6767DZER0R82ML1;0.82;2.17;2.28;38.5;51.0
IHLP-6767DZ-L1;image/small_inductors/34326.png;IHLP® Tin/Lead Inductors, High Saturation Series;IHLP6767DZER1R0ML1;1.0;2.53;2.66;31.5;58.0
IHLP-6767DZ-L1;image/small_inductors/34326.png;IHLP® Tin/Lead Inductors, High Saturation Series;IHLP6767DZER1R5ML1;1.5;4.50;4.73;23.5;40.0
IHLP-6767DZ-L1;image/small_inductors/34326.png;IHLP® Tin/Lead Inductors, High Saturation Series;IHLP6767DZER2R2ML1;2.2;6.10;6.40;19.0;30.0
IHLP-6767DZ-L1;image/small_inductors/34326.png;IHLP® Tin/Lead Inductors, High Saturation Series;IHLP6767DZER3R3ML1;3.3;9.06;9.51;18.5;28.0
IHLP-6767DZ-L1;image/small_inductors/34326.png;IHLP® Tin/Lead Inductors, High Saturation Series;IHLP6767DZER4R7ML1;4.7;10.70;11.20;16.0;27.0
IHLP-6767DZ-L1;image/small_inductors/34326.png;IHLP® Tin/Lead Inductors, High Saturation Series;IHLP6767DZER5R6ML1;5.6;13.40;14.10;14.0;26.0
IHLP-6767DZ-L1;image/small_inductors/34326.png;IHLP® Tin/Lead Inductors, High Saturation Series;IHLP6767DZER6R8ML1;6.8;15.20;16.00;13.2;21.0
IHLP-6767DZ-L1;image/small_inductors/34326.png;IHLP® Tin/Lead Inductors, High Saturation Series;IHLP6767DZER8R2ML1;8.2;16.80;17.60;11.5;20.0
IHLP-6767DZ-L1;image/small_inductors/34326.png;IHLP® Tin/Lead Inductors, High Saturation Series;IHLP6767DZER100ML1;10.0;24.40;25.60;10.5;19.5
