File Name;Image Path;Description;PART NUMBER;L 0 INDUCTANCE ± 20 % AT 100 kHz, 0.25 V, 0 A (μH);DCR TYP. 25 °C (mΩ);DCR MAX. 25 °C (mΩ);HEAT RATING CURRENT DC TYP. (A) (1);SATURATION CURRENT DC TYP. (A) (2)
IHLP-6767GZ-01;image/small_inductors/34000.png;IHLP® Commercial Inductors, High Saturation Series;IHLP6767GZER0R22M01;0.22;0.63;0.75;80;129
IHLP-6767GZ-01;image/small_inductors/34000.png;IHLP® Commercial Inductors, High Saturation Series;IHLP6767GZER0R33M01;0.33;0.71;0.82;65;126
IHLP-6767GZ-01;image/small_inductors/34000.png;IHLP® Commercial Inductors, High Saturation Series;IHLP6767GZER0R47M01;0.47;0.90;1.03;62;123
IHLP-6767GZ-01;image/small_inductors/34000.png;IHLP® Commercial Inductors, High Saturation Series;IHLP6767GZER0R56M01;0.56;0.91;1.05;56;88
IHLP-6767GZ-01;image/small_inductors/34000.png;IHLP® Commercial Inductors, High Saturation Series;IHLP6767GZER0R82M01;0.82;1.17;1.29;50;73
IHLP-6767GZ-01;image/small_inductors/34000.png;IHLP® Commercial Inductors, High Saturation Series;IHLP6767GZER1R0M01;1.0;1.28;1.38;48;73
IHLP-6767GZ-01;image/small_inductors/34000.png;IHLP® Commercial Inductors, High Saturation Series;IHLP6767GZER1R5M01;1.5;1.78;1.88;42;65
IHLP-6767GZ-01;image/small_inductors/34000.png;IHLP® Commercial Inductors, High Saturation Series;IHLP6767GZER1R8M01;1.8;1.96;2.10;38;65
IHLP-6767GZ-01;image/small_inductors/34000.png;IHLP® Commercial Inductors, High Saturation Series;IHLP6767GZER2R2M01;2.2;2.40;2.53;35;62
IHLP-6767GZ-01;image/small_inductors/34000.png;IHLP® Commercial Inductors, High Saturation Series;IHLP6767GZER3R3M01;3.3;3.68;3.88;28;54
IHLP-6767GZ-01;image/small_inductors/34000.png;IHLP® Commercial Inductors, High Saturation Series;IHLP6767GZER4R7M01;4.7;4.84;5.11;25;41
IHLP-6767GZ-01;image/small_inductors/34000.png;IHLP® Commercial Inductors, High Saturation Series;IHLP6767GZER5R6M01;5.6;6.68;7.05;21;40
IHLP-6767GZ-01;image/small_inductors/34000.png;IHLP® Commercial Inductors, High Saturation Series;IHLP6767GZER6R8M01;6.8;8.37;8.83;19;32
IHLP-6767GZ-01;image/small_inductors/34000.png;IHLP® Commercial Inductors, High Saturation Series;IHLP6767GZER8R2M01;8.2;10.10;10.66;18;25
IHLP-6767GZ-01;image/small_inductors/34000.png;IHLP® Commercial Inductors, High Saturation Series;IHLP6767GZER100M01;10.0;11.6;12.0;16.5;25
IHLP-6767GZ-01;image/small_inductors/34000.png;IHLP® Commercial Inductors, High Saturation Series;IHLP6767GZER150M01;15.0;18.8;19.9;12.5;25
IHLP-6767GZ-01;image/small_inductors/34000.png;IHLP® Commercial Inductors, High Saturation Series;IHLP6767GZER220M01;22.0;25.1;26.5;11;23
