File Name;Image Path;Description;PART NUMBER;L 0 INDUCTANCE ± 20 % AT 100 kHz, 0.25 V, 0 A (μH);DCR TYP. 25 °C (mΩ);DCR MAX. 25 °C (mΩ);HEAT RATING CURRENT DC TYP. (A) (1);SATURATION CURRENT DC TYP. (A) (2);SRF TYP. (MHz)
IHLP-2020CZ-5A;image/small_inductors/34384.png;IHLP® Automotive Inductors, High Temperature (155 °C) Series;IHLP2020CZER0R22M5A;0.22;3.95;4.23;18;11;190
IHLP-2020CZ-5A;image/small_inductors/34384.png;IHLP® Automotive Inductors, High Temperature (155 °C) Series;IHLP2020CZER0R33M5A;0.33;4.9;5.34;16;9.8;117
IHLP-2020CZ-5A;image/small_inductors/34384.png;IHLP® Automotive Inductors, High Temperature (155 °C) Series;IHLP2020CZER0R47M5A;0.47;6.58;7.04;14.2;7.8;92
IHLP-2020CZ-5A;image/small_inductors/34384.png;IHLP® Automotive Inductors, High Temperature (155 °C) Series;IHLP2020CZER0R68M5A;0.68;9.1;9.74;11.3;8.2;77.7
IHLP-2020CZ-5A;image/small_inductors/34384.png;IHLP® Automotive Inductors, High Temperature (155 °C) Series;IHLP2020CZER1R0M5A;1;11.5;12.1;10.8;8;60.7
IHLP-2020CZ-5A;image/small_inductors/34384.png;IHLP® Automotive Inductors, High Temperature (155 °C) Series;IHLP2020CZER1R5M5A;1.5;18;19.8;7.9;7.1;49.2
IHLP-2020CZ-5A;image/small_inductors/34384.png;IHLP® Automotive Inductors, High Temperature (155 °C) Series;IHLP2020CZER2R2M5A;2.2;24.7;26;6.6;6.3;39.8
IHLP-2020CZ-5A;image/small_inductors/34384.png;IHLP® Automotive Inductors, High Temperature (155 °C) Series;IHLP2020CZER3R3M5A;3.3;44.0;47.0;5.3;5.5;33.4
IHLP-2020CZ-5A;image/small_inductors/34384.png;IHLP® Automotive Inductors, High Temperature (155 °C) Series;IHLP2020CZER4R7M5A;4.7;72.8;78.3;4.1;3.7;23.8
IHLP-2020CZ-5A;image/small_inductors/34384.png;IHLP® Automotive Inductors, High Temperature (155 °C) Series;IHLP2020CZER6R8M5A;6.8;104;111;3.2;2.2;18.8
IHLP-2020CZ-5A;image/small_inductors/34384.png;IHLP® Automotive Inductors, High Temperature (155 °C) Series;IHLP2020CZER100M5A;10;132;138;2.8;1.6;15.9
IHLP-2020CZ-5A;image/small_inductors/34384.png;IHLP® Automotive Inductors, High Temperature (155 °C) Series;IHLP2020CZER150M5A;15;195;208;2.4;1.6;14.1
