File Name;Image Path;Description;PART NUMBER;L 0 INDUCTANCE ± 20 % AT 100 kHz, 0.25 V, 0 A (μH);DCR TYP. 25 °C (mΩ);DCR MAX. 25 °C (mΩ);HEAT RATING CURRENT DC TYP. (A) (1);SATURATION CURRENT DC TYP. (A) (2);SRF TYP. (MHz)
IHLP-2525AH-L1;image/small_inductors/34184.png;IHLP® Tin/Lead Inductors, High Saturation Series;IHLP2525AHER0R1ML1;0.1;3.0;3.5;18;40;288
IHLP-2525AH-L1;image/small_inductors/34184.png;IHLP® Tin/Lead Inductors, High Saturation Series;IHLP2525AHER0R15ML1;0.15;4.7;5.2;15;38;222
IHLP-2525AH-L1;image/small_inductors/34184.png;IHLP® Tin/Lead Inductors, High Saturation Series;IHLP2525AHER0R22ML1;0.22;5.3;5.7;14;26;183
IHLP-2525AH-L1;image/small_inductors/34184.png;IHLP® Tin/Lead Inductors, High Saturation Series;IHLP2525AHER0R33ML1;0.33;6.6;7;12;18;136
IHLP-2525AH-L1;image/small_inductors/34184.png;IHLP® Tin/Lead Inductors, High Saturation Series;IHLP2525AHER0R47ML1;0.47;8.4;9.3;11;18;96
IHLP-2525AH-L1;image/small_inductors/34184.png;IHLP® Tin/Lead Inductors, High Saturation Series;IHLP2525AHER0R68ML1;0.68;12.7;13.9;9;17;84
IHLP-2525AH-L1;image/small_inductors/34184.png;IHLP® Tin/Lead Inductors, High Saturation Series;IHLP2525AHER0R82ML1;0.82;13.8;15.9;8;17;78
IHLP-2525AH-L1;image/small_inductors/34184.png;IHLP® Tin/Lead Inductors, High Saturation Series;IHLP2525AHER1R0ML1;1.0;17.5;18.3;7;14;65
IHLP-2525AH-L1;image/small_inductors/34184.png;IHLP® Tin/Lead Inductors, High Saturation Series;IHLP2525AHER1R5ML1;1.5;32.6;34;4;11.5;50
IHLP-2525AH-L1;image/small_inductors/34184.png;IHLP® Tin/Lead Inductors, High Saturation Series;IHLP2525AHER2R2ML1;2.2;40.3;46;3.75;13;43
IHLP-2525AH-L1;image/small_inductors/34184.png;IHLP® Tin/Lead Inductors, High Saturation Series;IHLP2525AHER2R5ML1;2.5;49.9;52.4;3.5;10.4;37
IHLP-2525AH-L1;image/small_inductors/34184.png;IHLP® Tin/Lead Inductors, High Saturation Series;IHLP2525AHER3R3ML1;3.3;56.2;60.1;3.25;10;36
IHLP-2525AH-L1;image/small_inductors/34184.png;IHLP® Tin/Lead Inductors, High Saturation Series;IHLP2525AHER4R7ML1;4.7;76.6;78;3;8;25
