"Part Number▲▼(all)4N25-X, 4N26-X, 4N27-X, 4N28-XCNY17CNY17FCNY64, CNY65, CNY66CNY64AYST, CNY64ABST, CNY64AGRST, CNY65AYST, CNY65ABST, CNY65AGRSTCNY65ExiCNY651 SeriesH11A1H11D1, H11D2, H11D3IL205AT, IL206AT, IL207AT, IL208ATIL211AT, IL212AT, IL213ATIL215AT, IL216AT, IL217ATIL1206AT, IL1207AT, IL1208ATILD205T, ILD206T, ILD207T, ILD211T, ILD213TILD217TILD615, ILQ615ILD621, ILD621GB, ILQ621, ILQ621GBILD1206T, ILD1207TMOC8101, MOC8102, MOC8103, MOC8104SFH601SFH610A, SFH6106SFH615ASFH615A-3X018T, SFH615A-4X018TSFH615AA, SFH615AGB, SFH615AGR, SFH615AYSFH617ASFH618A, SFH6186SFH640SFH690AB, SFH690A, SFH690B, SFH690C, SFH690DSFH1617ASFH1690AT, SFH1690BT, SFH1690CT, SFH1690ABTSFH6156SFH6916TCET111., TCET111.GTCET1100, TCET1100GTCET1201, TCET1202, TCET1203, TCET1204TCLT100. SeriesTCLT101. SeriesTCLT110. SeriesTCLT111. SeriesTCMT110. SeriesTCMT111. SeriesTCMT4100, TCMT4106VO205AT, VO206AT, VO207AT, VO208ATVO215AT, VO216AT, VO217ATVO610AVO615AVO615CVO617AVO617CVO618AVOD205T, VOD206T, VOD207T, VOD211T, VOD213T, VOD217TVOL617AVOL618AVOM617AVOM618AVOMA617AVOMA618AVOS615AVOS617AVOS618A",Product Image,"Package▲▼(all)4 pin LSOPDIP-4DIP-4 HVDIP-4, 400 milDIP-6DIP-6, 400 milDIP-8DIP-8, 400 milDIP-16DIP-16, 400 milLSOP-4SMD-4SMD-4 HVSMD-6SMD-8SMD-16SOIC-8SOP-4SOP-4LSOP-6L5SSOP-4SSOP-16",VCEO(V)▲▼(all)3032557080100300,CTR Min.(1)%▲▼(all)10132022303234405063100,CTR Max.(1)%▲▼(all)200256300320400500600,"Forward Current IF(mA)▲▼(all)155, 105.010","ton/toff(µs)▲▼(all)-, -2, 253, 2.33, 33.0, 2.33.0, 3.04, 54.9, 3.35, 35, 45, 55, 86, 46, 56, 5.56.0, 5.06.8, 2.37, 69.5, 89.5, 8.5",Operating Temperature(°C)▲▼(all)- 55 to + 100- 55 to + 110-40 to +100-40 to +110-55 to +85-55 to +100-55 to +110-55 to +115,Isolation Voltage VISOVRMS▲▼(all)33333750400044204420 53004470 53005000530082008200 13 900,"Safety Standard(s)▲▼(all)BSI, VDE, FIMKO, UL, cUL, CQCPTBUL, cULUL, cUL, VDEUL, cUL, VDE, BSIUL, cUL, VDE, BSI, CQC, CQCUL, cUL, VDE, BSI, CQC, CQC, FUL, cUL, VDE, BSI, CQC, FIMKOUL, cUL, VDE, BSI, FIMKOUL, cUL, VDE, BSI, FIMKO, CQCUL, cUL, VDE, BSI, FIMKO, CQC,UL, cUL, VDE, CQCUL, cUL, VDE, CQC, BSI, FIMKOUL, cUL, VDE, CQC, CQCUL, cUL, VDE, CQC, CQC, FIMKOUL, cUL, VDE, CQC, FIMKOUL, cUL, VDE, FIMKOUL, cUL, VDE, FIMKO, BSI, CQC,UL, cUL, VDE, FIMKO, CQCUL, VDEUL, VDE, BSI, CQC, CQC, FIMKO",Image path
"4N25-X, 4N26-X, 4N27-X, 4N28-X",Enlarge,DIP-6,70,10,,,,- 55 to + 100,5000,"UL, cUL, VDE, BSI, FIMKO, CQC",image/optocouplers/opt-tran-output/81864.png
"4N25-X, 4N26-X, 4N27-X, 4N28-X",Enlarge,"DIP-6, 400 mil",70,10,,,,- 55 to + 100,5000,"UL, cUL, VDE, BSI, FIMKO, CQC",image/optocouplers/opt-tran-output/81864.png
"4N25-X, 4N26-X, 4N27-X, 4N28-X",Enlarge,SMD-6,70,10,,,,- 55 to + 100,5000,"UL, cUL, VDE, BSI, FIMKO, CQC",image/optocouplers/opt-tran-output/81864.png
CNY17,Enlarge,DIP-6,70,13,320,10,"3, 2.3",-55 to +110,5000,"UL, cUL, VDE, BSI, FIMKO, CQC",image/optocouplers/opt-tran-output/83606.png
CNY17,Enlarge,"DIP-6, 400 mil",70,13,320,10,"3, 2.3",-55 to +110,5000,"UL, cUL, VDE, BSI, FIMKO, CQC",image/optocouplers/opt-tran-output/83606.png
CNY17,Enlarge,SMD-6,70,13,320,10,"3, 2.3",-55 to +110,5000,"UL, cUL, VDE, BSI, FIMKO, CQC",image/optocouplers/opt-tran-output/83606.png
CNY17F,Enlarge,DIP-6,70,13,320,10,"3, 2.3",-55 to +110,5000,"UL, cUL, VDE, BSI, FIMKO, CQC",image/optocouplers/opt-tran-output/83607.png
CNY17F,Enlarge,"DIP-6, 400 mil",70,13,320,10,"3, 2.3",-55 to +110,5000,"UL, cUL, VDE, BSI, FIMKO, CQC",image/optocouplers/opt-tran-output/83607.png
CNY17F,Enlarge,SMD-6,70,13,320,10,"3, 2.3",-55 to +110,5000,"UL, cUL, VDE, BSI, FIMKO, CQC",image/optocouplers/opt-tran-output/83607.png
"CNY64, CNY65, CNY66",Enlarge,DIP-4 HV,32,50,300,10,"5, 3",-55 to +85,8200 13 900,"UL, VDE",image/optocouplers/opt-tran-output/83540.png
"CNY64AYST, CNY64ABST, CNY64AGRST, CNY65AYST, CNY65ABST, CNY65AGRST",Enlarge,SMD-4 HV,32,50,300,5,"5, 3",-55 to +85,8200 13 900,"UL, cUL, VDE",image/optocouplers/opt-tran-output/82387.png
CNY651 Series,Enlarge,DIP-4 HV,32,50,300,5,"5, 3",-40 to +110,8200 13 900,"UL, VDE",image/optocouplers/opt-tran-output/82566.png
CNY651 Series,Enlarge,SMD-4 HV,32,50,300,5,"5, 3",-40 to +110,8200 13 900,"UL, VDE",image/optocouplers/opt-tran-output/82566.png
CNY65Exi,Enlarge,DIP-4,32,50,300,10,"5, 3",-55 to +85,8200,PTB,image/optocouplers/opt-tran-output/83541.png
H11A1,Enlarge,DIP-6,70,50,,,"3, 3",-55 to +100,4420,"UL, cUL, VDE, BSI, CQC, CQC, F",image/optocouplers/opt-tran-output/83730.png
H11A1,Enlarge,SMD-6,70,50,,,"3, 3",-55 to +100,4420,"UL, cUL, VDE, BSI, CQC, CQC, F",image/optocouplers/opt-tran-output/83730.png
"H11D1, H11D2, H11D3",Enlarge,DIP-6,300,20,,,"4, 5",-55 to +100,5000,"UL, cUL, VDE",image/optocouplers/opt-tran-output/83611.png
"H11D1, H11D2, H11D3",Enlarge,SMD-6,300,20,,,"4, 5",-55 to +100,5000,"UL, cUL, VDE",image/optocouplers/opt-tran-output/83611.png
"IL1206AT, IL1207AT, IL1208AT",Enlarge,SOIC-8,70,22,320,10,"3.0, 3.0",-55 to +110,4000,"UL, cUL, VDE, FIMKO",image/optocouplers/opt-tran-output/83549.png
"IL205AT, IL206AT, IL207AT, IL208AT",Enlarge,SOIC-8,70,13,320,10,,-55 to +100,4000,"UL, cUL, VDE, FIMKO",image/optocouplers/opt-tran-output/83614.png
"IL211AT, IL212AT, IL213AT",Enlarge,SOIC-8,30,20,,,,-55 to +100,4000,"UL, cUL, VDE",image/optocouplers/opt-tran-output/83615.png
"IL215AT, IL216AT, IL217AT",Enlarge,SOIC-8,30,20,,,,-55 to +100,4000,"UL, cUL, VDE",image/optocouplers/opt-tran-output/83616.png
"ILD1206T, ILD1207T",Enlarge,SOIC-8,70,63,200,10,"-, -",-55 to +110,3333,"UL, VDE",image/optocouplers/opt-tran-output/83599.png
"ILD205T, ILD206T, ILD207T, ILD211T, ILD213T",Enlarge,SOIC-8,70,13,200,10,"6, 5",-55 to +100,4000,"UL, cUL, VDE",image/optocouplers/opt-tran-output/83647.png
ILD217T,Enlarge,SOIC-8,70,100,,,,-55 to +100,4000,"UL, cUL",image/optocouplers/opt-tran-output/84268.png
"ILD615, ILQ615",Enlarge,DIP-8,70,13,320,10,"3, 2.3",-55 to +100,4420,"UL, cUL, VDE, CQC, FIMKO",image/optocouplers/opt-tran-output/83652.png
"ILD615, ILQ615",Enlarge,"DIP-8, 400 mil",70,13,320,10,"3, 2.3",-55 to +100,4420,"UL, cUL, VDE, CQC, FIMKO",image/optocouplers/opt-tran-output/83652.png
"ILD615, ILQ615",Enlarge,SMD-8,70,13,320,10,"3, 2.3",-55 to +100,4420,"UL, cUL, VDE, CQC, FIMKO",image/optocouplers/opt-tran-output/83652.png
"ILD615, ILQ615",Enlarge,DIP-16,70,13,320,10,"3, 2.3",-55 to +100,4420,"UL, cUL, VDE, CQC, FIMKO",image/optocouplers/opt-tran-output/83652.png
"ILD615, ILQ615",Enlarge,SMD-16,70,13,320,10,"3, 2.3",-55 to +100,4420,"UL, cUL, VDE, CQC, FIMKO",image/optocouplers/opt-tran-output/83652.png
"ILD615, ILQ615",Enlarge,"DIP-16, 400 mil",70,13,320,10,"3, 2.3",-55 to +100,4420,"UL, cUL, VDE, CQC, FIMKO",image/optocouplers/opt-tran-output/83652.png
"ILD621, ILD621GB, ILQ621, ILQ621GB",Enlarge,DIP-8,70,30,600,5.0,"3.0, 2.3",-55 to +100,4420 5300,"UL, cUL, VDE, CQC, CQC, FIMKO",image/optocouplers/opt-tran-output/83654.png
